ids,times,stars,previews,likes
超宅溜,2020-10-11 01:08:02,20,就冲郭敬明发的鼓励s卡，这节目就只值两星。郭敬明真是前后矛盾，前头说不会找他拍戏对观众负责，一会又说要合作，真是能言善辩，各种偷换概念，既然这么个人主观，作为普通观众，能做的就是避开郭敬明所参与的电影。这不是看演技的节目，是非诚勿扰选妃记，这节目真的很现实，资本裹挟一切，最可乐甄嬛传和陈情令，毫无演技还都晋级了，真是辣鸡节目，不看了，看不下去,14,
麦芽儿,2020-10-11 18:03:36,10,郭敬明就是这个节目最大的败笔，一个随意发放的s卡败光所有的好感，更拉低了节目的层次。我们需要更多的李诚儒。,12,
我,2020-10-10 23:48:11,20,一个演员节目，发s卡的标准竟然不是演技，甚至可以说没有演技也能拿到，那这节目的意义在哪里,16,
我有一座3,2020-10-25 02:10:51,20,只打两星还都只是给李诚儒老师的导演互相抱大腿不带脏字长篇大论的阴阳怪气的陈凯歌真是吐了,12,
Lolliste,2020-10-03 00:28:08,10,真的糟蹋演员两个字,14,
K,2020-10-11 01:30:09,10,一阵阵犯恶心。已是完全意义上的市场决定和资本游戏，评价标准被牢牢掌控在资本大鳄手中，无法撼动分毫。表演艺术被所谓“演技”取代，谁还在乎表演艺术，谁就彻底失败。把艺术完全交由市场，劣币驱良币就成为必然。从这节目能看到，中国的变化不仅是剧烈的，而且是彻底的，根本的。,13,
陈蹦跶,2020-11-04 14:19:14,10,看似郭敬明最烦人实则最蔫儿坏最小肚鸡肠还没有水平的人是陈凯歌！还有大鹏这样见风使舵的狗腿子,9,
豆友206706603,2020-11-23 01:19:53,10,Ｆ调幻想曲得最高分？我可去你的吧，喂观众吃屎,10,
punch and judy,2020-10-31 22:36:11,10,看了几个片段，被雷的体无完肤。cuv怎么做到的？长时间保持一个表情，只有嘴在叭叭叭叭叭。孙千真的应该感谢陈，她演的也挺烂的，台词一惊一乍语气奇奇怪怪节奏差得过分，停顿转折也很突兀，把聪明冷静深情的甄嬛演成了一个唯唯诺诺不自信恋爱脑女人。不过在陈宥维来势汹汹的喜剧大师般的演技衬托下已经没有什么人嘴她了。陈宥维，真有你的👍最后想说，演员演不好观众不能笑了？难怪现在大摇大摆给观众喂💩,10,
今天杀人了没,2020-10-02 22:13:04,50,太刺激了，新赛制也相当真实了,13,
桃子汽水,2020-10-03 09:08:48,40,我好喜欢看尔冬升批评“小鲜肉”和张大大这种无事就煽情的人,19,
一场好梦Zzz,2020-10-10 21:29:47,50,请立即开个李诚儒评价演技的节目太刺激,12,
那就叫可爱多叭,2020-10-13 10:04:00,10,郭敬明太讨厌了，大鹏也是。本来就是凭实力竞争的地方，在座谁不是潜力无限。现在连新人都算是大优点了？本来觉得还挺好看的，连公平都没了还有什么好看的，弃了。,13,
荒岛,2020-10-25 12:51:02,10,唱得不行跳得不行演得不行关键还他妈长得不行的那些臭鱼烂虾选秀男团成员能不能去死，红不了就是红不了。导演抱团真他妈恶心吐了。郭敬明虽然不配做导演，但起码还能说一点真话。李成儒老师下次别来了，这节目不值得。陈凯歌是真的傻逼！大鹏做主持人也是真他妈傻逼。,14,
爆米花教主,2020-10-24 22:54:02,10,不明白张铭恩这种劣迹艺人为何还能上综艺,7,
Oooasis,2020-11-02 11:08:56,10,陈宥维演成这样都能过？,11,
阿之er,2020-10-24 23:00:03,10,我是看完第二季第四期下来评论的。之前导演们都可以从演员本身和作品出发评论，但从这一期起，因为是四位导演执导，除了李成儒老师这个憨憨真实的表达意见，其他的导演们都在互相吹捧、说场面话~互相联合起来让李成儒老师难堪，如果演员请就位还办第三季的话，只要不请李成儒老师，让他过来受欺负，你们就算演成一坨屎，我也给你们五分好评另外，名导只是曾经拍出好作品，但并不是他们拍的所有的作品都是好作品👈👈👈👈👈👈,12,
柚子,2020-10-25 00:28:25,10,建议改名资本请就位，完全看不到对艺术的敬畏。还有主持人大鹏，完全就是代表作代表本人，不要再霍霍主持界了,11,
武蝶,2020-11-04 11:06:46,20,越来越差，我才发现这部综艺最错误的存在是陈凯歌,10,
我佛不渡沙币,2020-10-15 09:34:06,10,赵薇：我觉得现在的女演员很不容易，啪反手给了湾湾小鲜肉一张s卡，马苏和倪虹洁哪点不如湾湾了？郭敬明：我觉得s的含义是student，对不起我觉得你是superstupid,12,
N-oah,2020-10-24 23:37:20,10,让我知道中国电影好不起来了,9,
辣酱,2020-10-25 08:50:01,10,导演少装逼，演员少吹捧，资本控制太恶心，简直就是娱乐圈现实缩小的一个小娱乐圈。让人看到了各种人为操作和资本横行。说实话也就唯一是李成儒了。,11,
Oakis,2020-10-14 23:17:29,10,郭敬明有事吗？他有什么资格作导师啊,8,
振华的小颖子,2020-10-24 23:06:03,10,为了热度完全没有下限真恶心，快滚吧,7,
金小秀,2020-11-01 03:44:54,10,这个垃圾综艺，把娱乐圈极其恶臭的一面展现的淋漓精致！,7,
十三,2020-10-16 23:53:18,10,能不能把郭敬明换走！即使是导演组为了热度为了收视率，也不必放这么憨批的人在这里面！看吐了！🤮,7,
三千岁,2020-10-03 13:30:16,30,综艺节目本身也有导演有编排，甚至有“剧本”，综艺效果决定着收视率，然后才是内容或价值观输出。从海选演员到导师配备，再到表演剧目筛选，无不体现着这一点，节目在导师、演员和表演范本上达到了基本的平衡。导师对演员的表演进行评价，意见相左，甚至大胆揭露行业忌讳，出现争论，这其中有导师自我表达的部分，也有“表演”的成分。李诚儒的“成语梗”就是强立人设，制造话题，也难为了这帮人。由此想到美国一档体育节目：WWE，观众看着释放、宣泄、解压，其实台上表演双方在上台前就商量过怎么打怎么摔，站位、动作细节以及发力程度都经过排演，表演痕迹浓重。演技有好坏，拿来评判、比较也不新鲜，上一季冠军牛俊峰实至名归，且看这一季如何。,7,
imagination,2020-10-24 21:47:13,10,你对得起唐一菲吗？,10,
失踪人口,2020-11-02 00:09:55,10,我对陈凯歌路转黑了,11,
豆花豆,2020-10-25 12:30:12,10,一星给李诚儒老师。本来是满怀期待来看的，结果越看越失望，看到第四期，一群导演说套话，欺负老实的诚儒老师，很心疼。关键夸完了导演、演员，最后还虚伪地不给发卡。第一期尔导很圈粉，到第四期就太失望了。节目组还恶意剪辑，恶意安排角色，恶意炒作，这节目被玩坏了，决定弃了。最后唠叨一句，希望后面诚儒老师退出吧，别再被节目组恶意消费了。很心疼。,12,
枫林,2020-10-10 20:41:12,10,？？？最差的拿s，不愧是烂片王郭敬明,11,
迷恋食物,2020-11-15 05:37:56,20,趁我质疑自己之前赶紧弃了，强捧痕迹太重了，我可不想看到何昶希、陈宥维决战紫禁之巅,9,
阿🐙,2020-10-18 20:59:53,30,郭敬明和大鹏太烦了我吐了,7,
长在天台的树,2020-11-03 18:26:14,10,真的刷新了我对陈凯歌和大鹏的认识，为什么不说郭敬明，因为郭敬明什么样大家不早就知道了。,9,
佐祎,2020-11-15 22:07:59,20,这个综艺如果可以改名为“烂剧的诞生”，“如何在娱乐圈捧高踩低”或者“钱，真香！”什么的我可以打五分。,7,
鱳,2020-10-31 00:39:03,20,笑死了，这节目组怎么连个正经的主持人都请不起。,7,
琥珀色的蝶,2020-10-26 00:03:54,30,我觉得李诚儒是唯一说真话的，这季四个导演抱团太厉害了。商业互吹好无语。,13,
红配绿,2020-10-02 22:54:36,30,众所周知这是个语言类节目,14,
影守,2020-11-09 00:56:42,10,完美地诠释了资本给观众喂shi,8,
请你闭嘴,2020-10-11 09:21:13,30,郭敬明——诡辩第一高手，建议与川普一战🤷,12,
天腐之国,2020-10-25 01:13:20,20,导出来的玩意儿我开二倍速都嫌慢，四个导演还互相吹得出口就离谱，心疼李诚儒,10,
Remedios,2020-10-02 21:05:40,20,两星给小宝和李诚儒选的什么瞎逼演员,15,
Carl,2020-10-11 04:43:21,10,一星给陈凯歌，尔冬升，李诚儒。其他的不配称之为导师。,12,
怪奇少女,2020-11-04 21:46:30,10,就凭李诚儒要退出了就凭陈凯歌给了陈宥维A卡作秀节目剧本安排垃圾,9,
molly,2020-10-30 08:09:51,30,我没看出来胡杏儿面对杀死自己儿子的人时那种仇恨和心疼，也没看出来倪虹洁和她老公这种底层百姓杀了人后那种胆小心虚又要掩盖情绪，崩溃边缘里又有心疼和憎恨……倪虹洁老公那演员演的和地下党一样。有一种完成了任务智斗敌人的感觉……倪虹洁气势那么足，哪像是底层妇女……胡杏儿不像掌握权力的高高在上的那种人，反而像宫斗里的那种人……,7,
想见你,2020-11-14 22:20:58,10,李诚儒老师退出了，四条狗就好好的舔陈凯歌吧。陈凯歌拍完《霸王别姬》就该当场离世。,6,
_风靡万千少女,2020-11-14 23:34:12,10,什么几把东西啊，陈宥维，何昶希演的什么玩意,10,
小丫小淘气,2020-10-11 17:03:48,10,因为郭敬明，给一星。好羡慕里面的关系户啊！,11,
37HETU,2020-11-14 22:42:04,10,流量为王尽显丑态,8,
我思故我在,2020-10-17 16:24:32,20,有一说一，我只是想看尔冬升和李诚儒怼人。。。,8,
蘇清许,2020-11-14 17:42:23,10,限韩令后遗症现在国内荧幕上的，所谓的顶流，当红炸子鸡，小鲜肉，流量艺人，偶像练习生，不啦不啦的，是没有体验过被韩流吊打的时候。娱乐资本野蛮生长，明星配合资本恰烂钱。现在就应该把韩国这些工业化、流水线上生产的偶像明星放进国内，让国内这种封建门阀式的培养感受一下现代工业文明的力量。没有对比就没有伤害，没有竞争就不会进步。为什么祖国影视剧停滞不前，为什么人民群众哀默心死这种原始落后的野蛮喂💩操作，令人厌恶。,10,
蓝蓝与鱼,2020-10-11 00:30:13,10,2020.10.11还以为有了尔导会好看，可惜我低估了郭敬明对自己喜欢的人的偏爱。这个综艺仿佛在告诉我们娱乐圈烂片都是怎么制作而成的。没有演技就去练行吗？别出来污染观众的眼睛。看这综艺一下子就明白了以前一样为什么演艺界会有叫演员少出来的话，因为有些演员的确只适合演戏，虽然这个综艺需要演技，但更多的是一场真人秀，很暴露演员的性格缺陷。但现在这世道不出来参加综艺感觉都没人找你拍戏了，真可怕的世道。我只希望有艺德的好演员能有更好的路。但很明显这就是个还不如第一季的综艺。,10,
叶洲,2020-11-22 05:49:55,30,腾讯之所以还请郭敬明来发房卡，摆明了就是为了热搜。陈凯歌对剧情局部逻辑的理解是细致的，但全局真的不行。这大概也是他现场指导头头是道，但近年的长片都差强人意的原因。尔冬升也许是时间投入或综艺经验不足，没怎么用心改原剧本来适应这个舞台。相比之下还是赵薇最得我心，一是真挚现实，品味也与我相符，加上她的高水准嘲讽郭敬明。节选她被迫导演小时代片段时的三连击：“小时代1-4我一个也没看过，就刚才在飞机上看了20分钟，我想还是算了交给你们吧。”不过她的故事类型多限于都市青年，希望看到更多题材。说到题材，哭哭啼啼的剧目还是太多了。演员里面，我喜欢收放自如的倪虹洁，尤其是花木兰。王智演的几个非主流作品在千人一面的女演员里给我留下了深刻印象，所以还是拓宽点戏路好。然而这俩都淘汰了房卡帅哥晋级了,3,
不喜欢下雨的大吃货,2020-11-08 23:02:17,10,看的想砸电视，各种毁三观，从这个节目让我看到为什么中国烂片那么多,9,
TeddyBear,2020-10-17 23:42:44,10,郭敬明就是纯傻逼,7,
🧸,2020-11-14 21:44:20,10,李诚儒走了简直无法无天了。郭敬明是劣币驱逐良币，凯子哥老狐狸睁眼说瞎话，尔冬升吃瓜群众，赵薇唯唯诺诺不敢说。鹅厂综艺全部拉黑，再看一期我是狗。,10,
Ventura,2020-11-15 13:18:37,10,演技好的被淘汰，李诚儒被逼走，还有个煽风点火的主持人。选手都私下送导演礼物请导演吃饭，那你们还比什么啊？,9,
【Hector】,2020-10-05 10:43:02,10,什么鸡巴臭鱼烂虾的制作组，一群肤浅的十八线爱豆+张大大+郭敬明，不知道的还以为是tm哪个出道节目呢。我真尼玛要呕出来了,13,
居无间,2020-10-09 19:35:00,30,比上一季要好。形式上，将演员的市场生态融入到规则里；内容上，对流量、对演技的审视和批评也都动了刀。尔冬升的真话太可贵、太加分。,4,
ふわふわ,2020-11-14 22:52:33,10,我是真的曹你吗。辣鸡节目浪费时间看小矮子选妃！生活过的够苦了。看综艺还得再感受一遍社畜被？？,8,
宇霖铃,2020-11-15 01:00:10,10,到第七期，完全没法看了，三张s卡捧个零演技的货，真是有钱就可以节目里公然选妃么？,3,
嘻嘻荷包蛋,2020-10-11 19:36:40,10,郭敬明是怎么做到拍的东西全部不及格还那么自信的，他那么普通，却又那么自信,12,
李太美,2020-10-03 07:57:19,30,有时候觉得“竞技”让表演失去了一些诗性与情真，功利心往往让艺术蒙上了一层顿感。,10,
我模糊了,2020-11-03 02:16:18,10,这玩意儿就是行业最大的笑话，难怪每年到头生产那么多垃圾。现在才发现，原来陈凯歌和郭敬明还真是惺惺相惜啊，陈凯歌别挣扎了，你早就被时代抛弃了，江郎才尽都多少年了，现在也就能在综艺里捞点钱。,7,
ooh,2020-11-14 23:35:49,10,导演情商让这些晚辈和观者望尘莫及，粉丝的火热更让人不敢轻易置评，毁掉一个系列，只需要涂点粉红色，遮遮瑕，作假嘛，有钱拿，像王晶采访里说的，“过个肥年不好吗？”,3,
筠,2020-10-25 00:39:46,20,确实被恶心到了，节目组就是biaozi，也要给自己立个娱乐圈残酷如是的牌坊。唐一菲可以十年不拍戏，但是不至于饿死，何况一个人就是饿死，也不该是给什么都可以吃的。想给一星的，但是还有很多我喜欢的演员还在努力，如果流量可以赢过演技，一星就坐实了。,7,
Dear_小板栗,2020-10-18 01:37:39,30,1、郭内心极度自卑，才会那么爱解释，因为他渴望认同感，你不认同，他就和你杠。气量很小。郭敬明可能只是想显得与众不同点，估计他当时根本没想那么多。2、其实当时何在台上如果胆子大一点，大方拒绝，说：感谢郭导的抬爱，但我感觉今天的自己还配不上这张S卡，希望这张S卡可以留给后面比我更值得的好演员！一定比现在吸粉多得多，错过机会了。3、你没有闺蜜间的那种心疼，这是情感基地，没有就像纯吵架。你想伤害对方，来确认彼此的爱。伤害到一定程度的时候该停顿一下。4、演员是个高压职业，你要面对所有人的审视和批评，理解了你才能坚强，才有意志力坚持下去。李溪芮姿态太高了更容易浮躁。,4,
Slples a fire,2020-10-11 07:56:19,30,导演都没毛病，李诚儒也很好，希望各位导演能再直接点，有的演员演的真的是一坨屎，甚至看不到任何努力的痕迹。大棚这个总想着急站队的主持人什么时候换？,9,
beyondgw_009,2020-11-23 08:08:15,20,初期陈宥维对何昶希说：我们顶峰见！观众以为这会是个笑话，结果观众成了笑话。,10,
卿溪,2020-10-26 00:21:27,10,把见人下菜碟发挥到了极致,6,
林杨小太阳,2020-11-04 11:31:20,10,更新：早就弃了。少买点热搜吧，整个节目都很不真诚，不是为了真正探讨演技////////陈宥维能留下就离谱，大鹏是来主持的还是来挑事的？陈凯歌的呛人真是太小家子气了…,0,
起止淡然,2020-10-13 18:33:16,30,节目组：“为了话题和流量，我们需要有人充当搅屎棍。”郭敬明：“我来，这活我熟。”大鹏：“算我一个。”,10,
素衣染天香,2020-11-15 17:29:17,10,先给首页安利过的朋友道个歉。祝贵节目发臭发烂。,5,
呼呼啦啦,2020-10-11 13:36:36,10,郭敬明就特么一傻子，选自己喜欢的，那还演啥呀，直接往那一站，看谁喜欢就发S卡就行了，还有那个大鹏，主持人不应该是起调和作用的么？怎么还开始站队了？真的让我没有看下去的欲望了，请开除郭敬明好吧，导演的小时代评分差到什么程度心里面没有点逼数？能不能换一个导演，谢谢,9,
奥立弗,2020-11-15 21:58:52,10,郭精明请别糟蹋戏了,6,
诸葛若见,2020-10-11 15:49:13,40,感觉大家拍的不是一个节目。郭敬明：心动的男神，三个导演：说话的艺术，李诚儒：电波怒汉，其他演员：甄嬛传之演员宫斗篇。,3,
liumye,2020-10-10 21:04:22,30,不明白郭敬明凭什么做导师...第二集那张S卡简直莫名其妙,6,
,2020-10-04 13:00:15,30,现在的陈凯歌本质上与郭敬明是一类人,6,
淡村路阿蘭,2020-10-25 02:02:33,10,Shameful!Shameful!请PCG的相关宣发团队别再给这档综艺立牌坊了，虽然你们KPI完成得很好。,4,
中国台湾省,2020-10-05 17:36:35,50,不管是导演阵容还是演员阵容都爆表了，第一期倪虹洁最佳。,9,
雨又-,2020-11-15 01:06:27,10,垃圾综艺直接改名叫演员请内定好了那些导演选的什么小鲜肉比娄艺潇、倪虹洁、黄璐还强？？一边说着要多关注三十加女演员，一边选着没什么演技的漂亮男演员？？除了喜欢任敏孙千张海宇这三个有好感，其他有些内定选手真是🐮真是反应了演艺圈的黑暗了李诚儒老师讲的和导演吃饭的事真是没有假,6,
Claire,2020-10-11 16:00:55,30,我的星二颗给李诚儒，一颗给尔冬升和陈凯歌。有了尔冬升，李诚儒老师显得没有那么孤独了。这个世界太需要真话了，也太缺乏真话。陈凯歌的点评儒雅博学，可是电影为什么越拍越偏呢？郭矮子恶心到了骨子里，赚热度，选后宫，蹭流量。赵薇对郭矮子也是鄙视的，话里句句调侃，还不带脏字。但是她离真话的距离就像郭矮子离好电影的距离一样一望无际。那个大鹏也是个舔狗，恶心。最后，想祝福李诚儒，希望你有自己的知音和同类的理解，毕竟这条寻找真实的路，很长很孤独。,9,
An😁,2020-10-18 21:18:49,10,给郭敬明打的,4,
大钊,2020-10-18 01:58:40,20,老实说，抱着嘲讽郭敬明的动机看的，结果他在陈凯歌面前架子低多了，他和陈凯歌讲的理论大多理解，但郭敬明审美真是从《小时代》就没出来过。你说这节目是为了发掘演员吧，好些还没助演真实，玩呢？看了两期，大部分话剧路子，少数电视剧套路，只有辣目洋子一人表演的是电影。影不影后还不好说，这种水平的节目也是鹤立鸡群了。这节目看点不在表演，表演看个十几秒就明白了，直接看导演点评，太好玩了，精华全在点评。陈凯歌的表演层次，赵薇的细腻感受，郭敬明的人物动机，其实导演的评价演员自己要过滤，大多数时候导演说的只是自己的期待罢了，不是什么理论真理，他想象中应该这样，你没这样也不代表你不好。作为演员综艺，海选还是靠名气取胜，过气也是有原因的啊，不如发掘点戏剧专业新生而不是艺人，不然你节目的价值只剩看导演撕逼了,4,
芝麻汤圆不含糖,2020-10-12 00:00:58,10,一星给小四，给大鹏，给房卡,8,
牧辰,2020-10-17 20:13:36,10,抵制郭敬明。,5,
JeSSiE,2020-11-23 19:31:51,20,真的不会再看了，不知道聪什么时候开始，资本参与的东西就早已变味。其中一星给李老师,4,
奇牙牙,2020-10-11 14:50:10,30,郭小四真是一个诡言狡辩、避重就轻、偷换概念的好手，唯一的标准就是恣意妄为。,7,
浮世鸿云,2020-10-29 08:32:25,40,郭敬明在第二集中，不论随意给出的S级卡，还是跟李成儒的狡辩，都处处暴露出低水准人格。当陈凯歌表示Surprise，尔冬升表示标准混乱，赵薇说审美固定时，郭敬明仍然在拿不是当理说。反观李成儒却颇具大将风度，该说的说的滴水不漏，不该说的半句多。大鹏拉偏架的说辞也相当不智慧。,2,
你就是个椰瓜,2020-10-10 22:46:41,10,郭敬明是来拉低这个节目的档次的吗？大鹏一个主持人站边也好不专业。终究还是资本的节目，懂了为啥现在选出来的主角都又丑又木了🙄️,10,
开热水,2020-10-11 21:33:20,10,这个节目郭敬明真的恶心到我了,8,
狮,2020-10-03 14:49:20,10,特别搞笑的综艺看过原剧的一定要来看这些小年轻的演绎比看喜剧片还好笑节目组请不到有演技的人来演吗为什么要请这帮连演技都没有的任敏的演技明明很形式化她每个作品演的都是同一个东西都被吹上天了是因为没有对比就没有伤害吗马苏倪虹洁也没想象那么强连原人物都没理解就按着自己的意思演了揣摩下角色吧好歹有三天给你排练呢很好笑的节目快乐满分,11,
朦胧美,2020-10-04 22:37:33,50,王智真的好温柔，一直在配合、帮助张大大……虽然对手经验不足也依旧很耐心，希望姐姐越来越好。,12,
可可乐乐,2020-10-18 00:43:24,30,陈凯歌：学生最爱的那种导师，双选会抢破头的那种（11.1更新:无语，陈凯歌导的都是些什么啊！）；赵薇：还挺爱跟学生打成一片，经常请学生吃饭，受女学生喜欢的老师；尔冬升：学术能力强但比较push，当他学生会战战兢兢；郭敬明：不知道靠什么水进学校的，还会搞性骚扰，迟早被开除加身败名裂。,9,
一口茶叶末,2020-10-11 17:36:52,40,郭敬明这张嘴啊，能把死人说活,7,
风,2020-10-11 13:11:17,10,大鹏和郭敬明一样不清楚事情的本质，还狡辩,13,
秋天来了,2020-11-23 19:06:45,10,能给负分吗？越来越恶心，弃了。,4,
冰冷熱带企鹅_7,2020-10-11 00:05:43,20,这个节目郭敬明就他妈的搞笑演戏五分钟吵架二十分钟节奏也太慢了两周第一阶段都放不完emmmm一星给其他导演一星给演员们(部分,6,
Kevin,2020-11-15 03:09:35,10,因为郭敬明给了何昶希3次S卡，特来评1⭐，因为没法负分,5,
灰烬霓虹,2020-10-02 20:08:14,50,支持可口考拉的丁程鑫,12,
冰镇西瓜橘子水,2020-10-04 11:55:06,40,尔冬升去参加欢乐喜剧人效果应该也挺好的哈哈哈哈哈,10,
江爱橙,2020-10-04 00:08:10,50,我太喜欢这种演技类综艺了。嘉宾配置真的棒，就是应该请大导演和小演员，这样导师们点评起来也敢说真话，演员的诞生前两季也不错，但是第三季就很难看，最主要的原因就是演员咖太大了，只能捧着，没法批评。演员请就位就很不错，导演们不仅咖位大，而且真敢说，尤其是尔冬升，简直太辛辣了，金句频出，不管是作为演技类综艺，还是作为好笑的综艺，都非常精彩，值得一看。,6,
你不知去向,2020-10-25 09:53:29,10,垃圾营销，铺天盖地的炒话题和恶心人,7,
lucifer,2020-11-03 21:52:17,10,本以为郭敬明已经是这节目的极限了，直到我重新认识了大鹏陈凯歌,10,
叶子,2020-11-15 00:27:54,30,看到第七期了，实在看不下去了，郭敬明的&lt;画皮&gt;居然第二？更魔幻的是S给了何昶希？然后就是郭导的："你保护我，我保护你"what？这是演技竞技节目啊，你以为你在打王者荣耀啊？！尔冬升和李成儒的点评是有营养的，赵薇的点评需要仔细思量，哈哈哈哈哈，娱乐嘛,4,
RubyCat,2020-10-26 19:07:38,30,谁能想到这季最招人讨厌的竟然不是郭敬明。看到陈凯歌在诸多细节上下意识的反应，都忍不住想起金星说的那个“林肯”、“上等人”的故事段子。,11,
billow926,2020-10-25 03:21:33,10,还我李诚儒！！！,8,
炭烤香鱼,2020-10-17 23:01:16,10,郭敬明有什么好作品吗就来当导演，搁这选妃呢,7,
六翼LY,2020-10-14 10:16:49,10,郭敬明、董成鹏、张大大······把这些人凑在一个节目中！你说这个节目它能好吗！！！,8,
安妮海瑟薇本人,2020-11-15 01:01:29,10,看完11月14日这期后的感受：口区。,4,
Gin,2020-11-15 01:04:37,20,李成儒老师走后看这个节目简直如坐针毡如芒在背如鲠在喉,5,
暮麻,2020-10-11 00:37:44,20,看到赵薇说女演员难出头，太难受了。目前出来的这几组演员，无一不是女比男好。倪虹洁马苏更不用说，她们值得远比现在好的一切。｜第二期：不看了，郭敬明在这和搅屎棍有什么区别，这是演员比赛还是给他选妃啊，我服了,9,
刘雪雪,2020-10-12 12:34:27,10,小郭给s我们给一星谢谢，这是我们评定的标准。,13,
电影食客,2020-11-15 04:26:50,10,《郭敬明之爱fei何昶希请就位》,4,
温九,2020-10-25 08:27:14,10,想捧流量麻烦单开一个节目，别用实力演员祭天。,7,
公子舒夜,2020-10-26 12:01:03,10,这节目不如改名吧，就叫《站队拉偏架各种拱火人品辣鸡的主持人，和一堆互相恭维各种跪舔陈凯歌的导演们，如何为了节目的噱头和流量去撕逼的》李成儒可太惨了，站在观众的角度客观评论，就被陈大导演阴阳怪气拿人家私生活讽刺老古董。误杀那个片段，就因为是陈凯歌导的，导演们各种恭维说客气话，李诚儒说自己看的犯困，然后被四个导演抱团针对，既然那么好怎么不见你们几个导演给卡片抢人啊？就只给胡杏儿？笑死人了,13,
大法师琴之心,2020-11-15 21:49:48,10,郭敬明是有毛病吗这节目一股猥琐的气质是在恶心观众吗更新：终于有一个觉得好看的了，话说两季最喜欢的短片都出自赵薇,5,
良吉吉,2020-11-15 04:11:19,10,吃饭吐槽的我表情真的难以控制,2,
余有闲,2020-10-11 10:49:44,10,从郭敬明那么不要脸的给了S卡开始，这个节目就已经不再是一个演员竞技类的节目，连定位都变了，所以0分,10,
Puterde,2020-10-16 23:41:12,20,这个节目让我感受很分裂，太多的表演和所谓演员呈现出来的东西之糟糕，这样水准的东西为什么要让给观众看，节目组和某些所谓演员一没有尊重观众，二没有尊重舞台，三没有尊重自己，人都有点廉耻心和职业尊严，这样水平的表演怎么可以拿出来面对观众,5,
日你个大头鬼,2020-10-10 21:19:40,30,当郭敬明笑着说出自己的代表作是小时代的时候，不管李诚儒怎么怼他，我都支持！,10,
Shine,2020-11-14 23:46:22,30,任敏三场戏见了三次警察。,4,
